AÑO,fuente,emision
1990,CE_SP,298.7
1991,CE_SP,642.2
1992,CE_SP,778.6
1993,CE_SP,530
1994,CE_SP,84.7
1995,CE_SP,318.1
1996,CE_SP,674
1997,CE_SP,481.8
1998,CE_SP,286.8
1999,CE_SP,1338.1
2000,CE_SP,429.3
2001,CE_SP,21.8
2002,CE_SP,33
2003,CE_SP,12.1
2004,CE_SP,894.5
2005,CE_SP,795
2006,CE_SP,1676.7
2007,CE_SP,990.7
2008,CE_SP,2686.6
2009,CE_SP,2251.6
2010,CE_SP,872.2
2011,CE_SP,2043.8
2012,CE_SP,2925.2
2013,CE_SP,1448.5
2014,CE_SP,544.5
2015,CE_SP,700
2016,CE_SP,340.6
2017,CE_SP,183.3
1990,CP,208.7
1991,CP,244.9
1992,CP,306.5
1993,CP,90.2
1994,CP,36.3
1995,CP,239.4
1996,CP,237.6
1997,CP,213.9
1998,CP,311.9
1999,CP,282.4
2000,CP,292
2001,CP,313.6
2002,CP,247.6
2003,CP,291.7
2004,CP,407.8
2005,CP,398.8
2006,CP,368.1
2007,CP,288.7
2008,CP,361.9
2009,CP,364.6
2010,CP,349.1
2011,CP,258.7
2012,CP,337.9
2013,CP,387.6
2014,CP,403.8
2015,CP,408.2
2016,CP,482.1
2017,CP,147.8
1990,I_E,507.4
1991,I_E,887.1
1992,I_E,1085.1
1993,I_E,620.1
1994,I_E,121
1995,I_E,557.4
1996,I_E,911.6
1997,I_E,695.7
1998,I_E,598.6
1999,I_E,1620.5
2000,I_E,721.2
2001,I_E,335.4
2002,I_E,280.5
2003,I_E,303.8
2004,I_E,1302.3
2005,I_E,1193.8
2006,I_E,2044.8
2007,I_E,1279.4
2008,I_E,3048.5
2009,I_E,2616.1
2010,I_E,1221.3
2011,I_E,2302.5
2012,I_E,3263.1
2013,I_E,1836.1
2014,I_E,948.4
2015,I_E,1108.2
2016,I_E,822.7
2017,I_E,331.1
1990,R,451.3
1991,R,465.1
1992,R,478.9
1993,R,476.5
1994,R,451.8
1995,R,466.2
1996,R,478.5
1997,R,458.3
1998,R,484.3
1999,R,500
2000,R,483.6
2001,R,447.5
2002,R,430.5
2003,R,399.6
2004,R,374.1
2005,R,366.7
2006,R,392.4
2007,R,443.7
2008,R,405.6
2009,R,428.3
2010,R,445.7
2011,R,428.1
2012,R,411.5
2013,R,429.7
2014,R,388.5
2015,R,384.7
2016,R,439.6
2017,R,383.3
1990,C_S_SP,144
1991,C_S_SP,125.7
1992,C_S_SP,147.7
1993,C_S_SP,156.9
1994,C_S_SP,134
1995,C_S_SP,133.9
1996,C_S_SP,124.3
1997,C_S_SP,147.4
1998,C_S_SP,163.3
1999,C_S_SP,124.1
2000,C_S_SP,149.6
2001,C_S_SP,135.4
2002,C_S_SP,136.4
2003,C_S_SP,132.5
2004,C_S_SP,137.8
2005,C_S_SP,133.8
2006,C_S_SP,78.4
2007,C_S_SP,83.2
2008,C_S_SP,93.2
2009,C_S_SP,102.2
2010,C_S_SP,105.3
2011,C_S_SP,92.5
2012,C_S_SP,89.8
2013,C_S_SP,96.5
2014,C_S_SP,86.6
2015,C_S_SP,83.3
2016,C_S_SP,91.2
2017,C_S_SP,81.7
1990,T,1513.6
1991,T,1611.2
1992,T,1730.7
1993,T,1951.9
1994,T,2198.5
1995,T,2181.6
1996,T,2318.1
1997,T,2522.2
1998,T,2691.4
1999,T,2780.5
2000,T,2518.8
2001,T,2414.2
2002,T,2180.1
2003,T,2094.2
2004,T,2211.3
2005,T,2276.8
2006,T,2499.7
2007,T,2674.8
2008,T,2728
2009,T,2944.4
2010,T,3102.1
2011,T,3233
2012,T,3285
2013,T,3449.2
2014,T,3447
2015,T,3499
